document_id,tfidf_to_bert2bert_summary
0,"anggota komisi vii dpr ri rofik hananto menyayangkan terjadinya insiden kebakaran yang disebabkan oleh bocornya depo plumpang, jakarta utara, pada jumat, 3 maret 2023 pertamina harus tanggung jawab. pipa bbm yang terbakar itu merupakan bagian dari terminal bbm plumpang."
1,"menurut deputi bidang protokol, pers, dan media sekretariat presiden bey machmudin, presiden sudah berkoordinasi dengan wapres yang akan meninjau hari ini. penyebab kebakarandepo pertamina di plumpang, jakarta utara, terbakar, jumat malam, pukul 20. 00 wib."
2,"pertemuan tersebut berlangsung di ruang kerja wakil ketua mpr gedung nusantara iii komplek senayan, jumat, 3 maret 2023. delegasi paguyuban first travel indonesia meminta bantuan terkait putusan kasasi ma nomor : 365 pk / pid. sus / 2022 tanggal 23 mei 2022."
3,summarize : tim dokkes polri juga telah mendirikan posko dvi di rumah sakit polri kramat jati. dedi menuturkan tim labfor hari ini sedang berkoordinasi dengan bareskrim dan ditreskrim polda metro jaya untuk menyelidiki penyebab kebakaran dan melakukan olah tempat kejadian perkara ( tkp ).
4,"ahmad sahroni terpilih sebagai ketua umum hdci periode 2023 - 2028 pada munas luar biasa di bali. sejak didirikan pada 28 mei 1990, hdci terus berkembang hingga memiliki puluhan ribu anggota yang tersebar di seluruh nusantara."
5,"daerah ini akan ditata ulang supaya lebih teratur, lebih baik, aman, dan memenuhi persyaratan sebagai daerah yang berada di wilayah ibu kota. objek kebakaran tersebut adalah pipa bensin yang meledak pada jumat malam, 3 maret 2023."
6,"bertepatan 14 tahun pt sarana multi infrastruktur ( persero ), menteri keuangan ri sri mulyani indrawati beserta jajaran berkunjung ke kantor pt smiers, jumat ( 3 / 3 2023 ). tujuannya agar tidak ada lagi istilah daerah terpencil, daerah terluar dan daerah tertinggal di indonesia."
7,"tergugat ( kpu ) untuk tidak melaksanakan sisa tahapan pemilu 2004 diminta untuk tidak melakukan sisa tahapan pemilihan umum mendatang. hukumannya lebih berat dari putusan mk, yaitu denda rp 2 miliar per dua tahun 4 bulan."
8,"tempo. co, jakarta - markas besar kepolisian republik indonesia turun tangan menyelidiki penyebab kebakaran depo pertamina plumpang, jakarta utara. kepala divisi hubungan masyarakat mabes polri irjen dedi prasetyo mengatakan tim sudah diterjunkan ke lapangan alat yang kita gunakan toolkid kebakaran, drone, alat ambil sampel abu arang dan gunakan teknologi remote sensing."
9,"sekretaris daerah dki jakarta joko agus setyono mengatakan pemerintah provinsi akan berkerja sama dengan pertamina untuk melanjutkan rencana pembuatan buffer zone di kawasan depo pertamina plumpang, rawa badak selatan, jakarta utara, tahun depan."
10,"rapat langsung dipimpin oleh menteri bumn erick thohir, penjabat gubernur dki jakarta heru budi hartono, dan dirut pertamina nicke widyawati, siang ini, di depo plumpang, jakarta utara, setelah diperintah presiden."
11,"seorang peneliti indonesia corruption watch ( icw ) kurnia ramadhana mengatakan kecurigaan penundaan pemilu mendatang adalah hal yang wajar karena sebelumnya menko marinves luhut binsar pandjaitan, hingga ketua mpr bambang soesatyo yang pernah mengungkapkan wacana penundaan pemilu."
12,"ketua umum partai nasional demokrat surya paloh mendapatkan sambutan hangat saat menyambangi kediaman ketua umum gerindra prabowo subianto, di hambalang, bogor, ahad ( 5 / 3 ), saat bertemu sang empunya rumah, prabowo subianto."
13,"kpu akan mengajukan banding terkait putusan penundaan pemilu mendatang. selain menunda pemilu, hakim juga menghukum kpu membayar ganti rugi materiil sebanyak rp 500 juta karena pn jakpus tidak memiliki kewenangan mengadili perkara terkait pemilu."
14,"pertemuan dua sahabatkunjungan surya paloh ini merupakan balasan dari kunjungan prabowo subianto ke kantor dpp nasdem pada juni tahun lalu. pada pertemuan juni lalu, prabowo dan surya masih membuka peluang gerindra dan nasdem menjalin koalisi."
15,"tim investigasi komnas ham tidak melibatkan tni - polri karena mereka sebagai pihak yang diperiksa komnas ham konteks peristiwa wamena. dipicu isu penculikan anak oleh dua orang pedagang kaki lima di wamena, 23 februari 2023, hingga kini masih mengembangkan fakta - fakta di lapangan."
